12:22:02.457373 08:00:27:47:89:2e > 98:97:d1:35:7b:d5, IPv4, length 97: 192.168.1.70.51688 > 216.58.209.74.443: tcp 31
12:22:02.459087 08:00:27:47:89:2e > 98:97:d1:35:7b:d5, IPv4, length 105: 192.168.1.70.51688 > 216.58.209.74.443: tcp 39
12:22:02.460226 08:00:27:47:89:2e > 98:97:d1:35:7b:d5, IPv4, length 90: 192.168.1.70.51688 > 216.58.209.74.443: tcp 24
12:22:02.460254 08:00:27:47:89:2e > 98:97:d1:35:7b:d5, IPv4, length 66: 192.168.1.70.51688 > 216.58.209.74.443: tcp 0
12:22:02.469537 98:97:d1:35:7b:d5 > 08:00:27:47:89:2e, IPv4, length 66: 216.58.209.74.443 > 192.168.1.70.51688: tcp 0
12:22:02.472190 98:97:d1:35:7b:d5 > 08:00:27:47:89:2e, IPv4, length 66: 216.58.209.74.443 > 192.168.1.70.51688: tcp 0
12:22:02.472391 98:97:d1:35:7b:d5 > 08:00:27:47:89:2e, IPv4, length 66: 216.58.209.74.443 > 192.168.1.70.51688: tcp 0
12:22:02.472403 08:00:27:47:89:2e > 98:97:d1:35:7b:d5, IPv4, length 66: 192.168.1.70.51688 > 216.58.209.74.443: tcp 0
12:22:02.472812 98:97:d1:35:7b:d5 > 08:00:27:47:89:2e, IPv4, length 66: 216.58.209.74.443 > 192.168.1.70.51688: tcp 0
12:22:03.853508 08:00:27:47:89:2e > 98:97:d1:35:7b:d5, IPv4, length 97: 192.168.1.70.43902 > 155.54.212.96.443: tcp 31
12:22:03.853551 08:00:27:47:89:2e > 98:97:d1:35:7b:d5, IPv4, length 66: 192.168.1.70.43902 > 155.54.212.96.443: tcp 0
12:22:03.853989 98:97:d1:35:7b:d5 > 08:00:27:47:89:2e, IPv4, length 66: 155.54.212.96.443 > 192.168.1.70.43902: tcp 0
12:22:03.854003 08:00:27:47:89:2e > 98:97:d1:35:7b:d5, IPv4, length 66: 192.168.1.70.43902 > 155.54.212.96.443: tcp 0
12:22:03.883530 98:97:d1:35:7b:d5 > 08:00:27:47:89:2e, IPv4, length 60: 155.54.212.96.443 > 192.168.1.70.43902: tcp 0
12:22:03.883682 98:97:d1:35:7b:d5 > 08:00:27:47:89:2e, IPv4, length 60: 155.54.212.96.443 > 192.168.1.70.43902: tcp 0
12:22:03.884309 98:97:d1:35:7b:d5 > 08:00:27:47:89:2e, IPv4, length 60: 155.54.212.96.443 > 192.168.1.70.43902: tcp 0
